itemid,label,fluid,category,count,min,max,linksto,param_type,unitname
50801,Alveolar-arterial Gradient,Blood,Blood Gas,12558,___,99,mimiciv_hosp.labevents,,mm Hg
50802,Base Excess,Blood,Blood Gas,511502,___,-9,mimiciv_hosp.labevents,,mEq/L
50803,"Calculated Bicarbonate, Whole Blood",Blood,Blood Gas,23226,___,98,mimiciv_hosp.labevents,,mEq/L
50804,Calculated Total CO2,Blood,Blood Gas,511464,___,9,mimiciv_hosp.labevents,,mEq/L
50805,Carboxyhemoglobin,Blood,Blood Gas,5626,___,9.8,mimiciv_hosp.labevents,,%
50806,"Chloride, Whole Blood",Blood,Blood Gas,84470,___,99,mimiciv_hosp.labevents,,mEq/L
50808,Free Calcium,Blood,Blood Gas,281146,___,7.21,mimiciv_hosp.labevents,,mmol/L
50809,Glucose,Blood,Blood Gas,209857,___,99,mimiciv_hosp.labevents,,mg/dL
50810,"Hematocrit, Calculated",Blood,Blood Gas,111625,___,91,mimiciv_hosp.labevents,,%
50811,Hemoglobin,Blood,Blood Gas,111632,___,9.9,mimiciv_hosp.labevents,,g/dL
50812,Intubated,Blood,Blood Gas,151764,INTUBATED.,NOT INTUBATED.,mimiciv_hosp.labevents,,
50813,Lactate,Blood,Blood Gas,506516,___,9.9,mimiciv_hosp.labevents,,mmol/L
50814,Methemoglobin,Blood,Blood Gas,4793,___,9,mimiciv_hosp.labevents,,%
50815,O2 Flow,Blood,Blood Gas,9320,___,99,mimiciv_hosp.labevents,,L/min
50816,Oxygen,Blood,Blood Gas,68762,___,99.7,mimiciv_hosp.labevents,,%
50817,Oxygen Saturation,Blood,Blood Gas,176041,___,99.9,mimiciv_hosp.labevents,,%
50818,pCO2,Blood,Blood Gas,511401,___,90,mimiciv_hosp.labevents,,mm Hg
50819,PEEP,Blood,Blood Gas,56859,___,99,mimiciv_hosp.labevents,,
50820,pH,Blood,Blood Gas,564095,___,7.63,mimiciv_hosp.labevents,,units
